No., Card
4, Chronomantic Escape
8, Intervention Pact
9, Judge Unworthy
10, Knight of Sursi
11, Lost Auramancers
12, Magus of the Moat
16, Scout's Warning
18, Aven Mindcensor
19, Blade of the Sixth Pride
21, Daybreak Coronet
27, Mistmeadow Skulk
34, Cryptic Annelid
36, Foresee
37, Infiltrator il-Kor
38, Leaden Fists
41, Mystic Speculation
42, Pact of Negation
46, Venser Shaper Savant
52, Logic Knot
56, Sarcomite Myr
60, Spin into Myth
62, Whip-Spine Drake
68, Ichor Slick
71, Minions' Murmurs
72, Nihilith
78, Slaughter Pact
80, Bitter Ordeal
81, Bridge from Below
82, Death Rattle
83, Deepcavern Imp
84, Fleshwrither
86, Grave Scrabbler
87, Korlash Heir to the Blackblade
88, Mass of Ghouls
90, Street Wraith
91, Tombstalker
94, Arc Blade
96, Char-Rumbler
97, Emberwilde Augur
99, Gathan Raiders
100, Haze of Rage
101, Magus of the Moon
104, Pyromancer's Swath
105, Riddle of Lightning
106, Rift Elemental
109, Sparkspitter
110, Bloodshot Trainee
111, Boldwyr Intimidator
114, Fomori Nomad
117, Henchfield of Ukor
126, Force of Savagery
127, Heartwood Storyteller
128, Kavu Primarch
130, Llanowar Empath
131, Lannowar Mentor
134, Quiet Disrepair
137, Rites of Flourishing
139, Summoner's Pact
145, Imperiosaur
147, Nacatl War-Pride
148, Nessian Courser
149, Phosphorescent Feast
153, Tarmogoyf
156, Glittering Wish
157, Jhoira of the Ghitu
158, Sliver Legion
159, Akroma's Memorial
160, Cloud Key
161, Coalition Relic
162, Epochrasite
163, Sliversmith
165, Sword of the Meek
169, Dakmor Salvage
171, Llanowar Reborn
172, New Benalia
173, Tolaria West
174, Dryand Arbor
175, Graven Cairns
176, Grove of the Burnwillows
177, Horizon Canopy
178, Nimbus Maze
179, River of Tears
180, Zoetic Cavern
